时间,邮箱,激活码,产品类型,有效期至,最大设备数
2026-01-23 16:00:00,test@example.com,Z0FBQUFB-QnBTUUxn-NVJKSEFr-b3J1dGUw-Vl9wRUxL-M0lMRXdy,personal,2027-01-23,3
2026-01-23 19:00:00,user@example.com,Z0FBQUFB-QNBJMDBL-BLRIDUT0-ALE5MHPB-MURRVUXS-SHJVZ0ZG,personal,2027-01-23,3
2026-01-23 19:15:00,user@example.com,Z0FBQUFB-QNBJMKLH-ULHBYXLW-VNC5R0XR-AHZMLWJL-ZURNYMLJ,personal,2027-01-23,32026-01-23 20:39:35,test@example.com,PDF-P0123-5550-1FEC-A15A,personal,2027-01-23,3
2026-01-23 20:39:37,test@example.com,PDF-P0123-5550-1FEC-A15A,personal,2027-01-23,3
2026-01-23 20:50:00,test@example.com,pdfp012355500bea0638,personal,2027-01-23,3
2026-01-23 20:50:02,test@example.com,pdfp012355500bea0638,personal,2027-01-23,3
2026-01-23 21:01:40,test@example.com,z0fbqufbqnbjm0uwwmuzstjkuwroauliejbwsmfuzufmmmqy,personal,2027-01-23,3
2026-01-23 21:01:42,test@example.com,z0fbqufbqnbjm0uwwmuzstjkuwroauliejbwsmfuzufmmmqy,personal,2027-01-23,3
2026-01-23 22:13:34,test@example.com,z0fbqufbqnbjnelpazboqzjhy1hvrdlsqwfxwxnec2dywdd4,personal,2027-01-23,3
2026-01-23 22:13:36,test@example.com,z0fbqufbqnbjnelpazboqzjhy1hvrdlsqwfxwxnec2dywdd4,personal,2027-01-23,3
2026-01-23 22:28:19,test@example.com,z0fbqufbqnbjnfdevu1tm1p4ofvqulpfn0tnaffhni11n0x6,personal,2027-01-23,3
2026-01-23 22:28:21,test@example.com,z0fbqufbqnbjnfdevu1tm1p4ofvqulpfn0tnaffhni11n0x6,personal,2027-01-23,3
2026-01-23 22:30:20,test@example.com,z0fbqufbqnbjnfg4cnb2qwjxmvjywdzsdwqyagpsmef5dtgy,personal,2027-01-23,3
2026-01-23 22:30:22,test@example.com,z0fbqufbqnbjnfg4cnb2qwjxmvjywdzsdwqyagpsmef5dtgy,personal,2027-01-23,3
